,,,,,Crimes,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE/UT,District,Year,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
PUNJAB,BATALA,2002,30,34,4,14,0,14,14,8,6,0,0,2,18,49,18,31,0,13,72,0,0,147,7,5,0,32,0,39,160,640
PUNJAB,BHATINDA,2002,34,30,2,14,0,14,32,25,7,1,8,3,126,99,33,66,0,29,135,3,3,193,5,25,5,36,0,0,414,1197
PUNJAB,FARIDKOT,2002,12,12,1,6,0,6,11,8,3,2,1,3,43,42,18,24,0,2,72,0,0,145,5,6,0,23,0,0,118,504
PUNJAB,FATEHGARH SAHIB,2002,14,13,1,0,0,0,11,6,5,0,1,3,47,38,14,24,0,8,33,0,0,99,5,5,1,4,0,105,177,565
PUNJAB,FEROZEPUR,2002,39,63,4,27,0,27,24,16,8,1,1,1,99,168,58,110,0,16,138,2,6,542,9,15,0,41,0,82,254,1532
PUNJAB,G.R.P,2002,5,8,0,0,0,0,1,0,1,0,0,0,0,27,4,23,0,1,7,0,0,11,2,2,0,0,0,0,326,390
PUNJAB,GURDASPUR,2002,26,24,4,17,0,17,14,8,6,2,5,5,43,62,23,39,0,13,57,1,0,93,4,10,0,28,0,172,239,819
PUNJAB,HOSHIARPUR,2002,31,38,2,19,0,19,16,10,6,19,2,20,80,111,34,77,0,21,153,1,10,276,12,12,1,55,0,163,297,1339
PUNJAB,JAGRAON,2002,15,30,3,13,0,13,22,13,9,2,0,6,27,76,17,59,0,6,67,2,0,123,3,4,1,26,0,71,163,660
PUNJAB,JALANDHAR,2002,59,64,6,20,0,20,50,38,12,1,8,11,224,330,189,141,0,10,249,4,12,378,14,12,0,82,0,162,729,2425
PUNJAB,KAPURTHALA,2002,32,18,4,17,0,17,16,8,8,5,0,2,36,81,26,55,0,5,196,0,1,147,7,14,0,47,0,69,215,912
PUNJAB,KHANNA,2002,21,13,2,7,0,7,10,4,6,0,4,1,49,56,23,33,0,6,58,0,0,105,5,7,0,16,0,99,140,599
PUNJAB,LUDHIANA,2002,68,77,14,40,0,40,125,88,37,3,17,12,346,717,369,348,0,57,405,5,18,328,16,88,127,145,0,190,2850,5648
PUNJAB,MAJITHA,2002,28,34,9,9,0,9,14,9,5,0,0,2,28,48,9,39,0,3,55,1,4,188,5,6,0,25,0,84,200,743
PUNJAB,MANSA,2002,25,23,1,10,0,10,5,4,1,1,2,2,40,40,14,26,0,16,39,0,3,155,3,7,0,11,0,0,150,533
PUNJAB,MOGA,2002,27,35,4,4,0,4,14,7,7,0,7,5,39,70,31,39,1,29,93,4,2,159,7,7,0,14,0,67,116,704
